Reaction Date,Reaction Type,Parent Type,Parent ID
"Aug 17, 2024, 3:19:56 PM",Kudos,Activity,12171262037
"Aug 17, 2024, 4:22:36 PM",Kudos,Activity,12172087159
"Aug 17, 2024, 10:52:16 PM",Kudos,Activity,12171942769
"Aug 18, 2024, 11:52:06 PM",Kudos,Activity,12183146113
"Aug 20, 2024, 12:58:11 AM",Kudos,Activity,12191619995
"Aug 21, 2024, 12:01:55 AM",Kudos,Activity,12200179878
"Aug 21, 2024, 12:18:57 PM",Kudos,Activity,12204104898
"Aug 21, 2024, 12:19:33 PM",Kudos,Activity,12200762712
"Aug 21, 2024, 6:52:51 PM",Kudos,Activity,12206888861
"Aug 23, 2024, 1:17:55 AM",Kudos,Activity,12218215495
"Aug 23, 2024, 1:18:22 AM",Kudos,Activity,12218032714
"Aug 23, 2024, 1:18:43 AM",Kudos,Activity,12217384639
"Aug 23, 2024, 1:19:05 AM",Kudos,Activity,12210276644
"Aug 23, 2024, 1:19:45 AM",Kudos,Activity,12212802404
"Aug 23, 2024, 4:48:21 PM",Kudos,Activity,12222301298
"Aug 23, 2024, 10:49:32 PM",Kudos,Activity,12224836234
"Aug 24, 2024, 6:53:10 PM",Kudos,Activity,12231586040
"Aug 24, 2024, 6:53:48 PM",Kudos,Activity,12232097420
"Aug 24, 2024, 7:29:34 PM",Kudos,Activity,12230797108
"Aug 24, 2024, 7:30:49 PM",Kudos,Activity,12231372978
"Aug 24, 2024, 7:32:49 PM",Kudos,Activity,12231009778
"Aug 25, 2024, 9:22:35 PM",Kudos,Activity,12239948391
"Aug 26, 2024, 4:31:40 PM",Kudos,Activity,12247584942
"Aug 26, 2024, 4:32:04 PM",Kudos,Activity,12246417328
"Aug 27, 2024, 1:11:00 AM",Kudos,Activity,12250851644
"Aug 27, 2024, 7:47:08 PM",Kudos,Activity,12254519846
"Aug 27, 2024, 7:47:27 PM",Kudos,Activity,12254519043
"Aug 27, 2024, 7:47:31 PM",Kudos,Activity,12254519963
"Aug 27, 2024, 7:47:34 PM",Kudos,Activity,12253388820
"Aug 29, 2024, 12:55:38 AM",Kudos,Activity,12267956609
